"sample","stromal","immune","estimate","purity"
"CGGA_634",-1644.20924551515,-1341.99298759228,-2986.20223310743,0.986146435288051
"CGGA_652",-1498.209745495,-396.23482577947,-1894.44457127447,0.947040815766132
"CGGA_663",-1665.03196863158,-1254.09359105593,-2919.12555968751,0.984465422289358
"CGGA_703",770.763792344968,1369.05567006365,2139.81946240862,0.606545591086948
"CGGA_705",-1048.63234297272,-4.74459820402896,-1053.37694117675,0.900288851927597
"CGGA_707",-1514.11855677287,-1081.30473836791,-2595.42329514078,0.975014689236219
"CGGA_720",-1814.31376240187,-1044.43060203333,-2858.74436443519,0.982870576115494
"CGGA_721",-1187.3971349575,-97.2604926251468,-1284.65762758265,0.914545148011004
"CGGA_724",-1507.89771623213,-626.750084269334,-2134.64780050146,0.957771996132172
"CGGA_730",-1075.93193070868,-154.468634970388,-1230.40056567906,0.91129474377672
"CGGA_763",-1297.96958665359,-603.216564916049,-1901.18615156964,0.94735812107266
"CGGA_777",-74.7183470968897,645.94624018848,571.22789309159,0.771985893883516
"CGGA_780",-1298.42222744142,-540.22059789134,-1838.64282533276,0.944378821282319
"CGGA_799",-1885.75975864647,-1058.41302472498,-2944.17278337144,0.985104306495645
"CGGA_809",-1550.65516411025,59.5367675203274,-1491.11839658993,0.926381624524009
"CGGA_810",-589.284470126284,1920.73338434114,1331.44891421486,0.696399288738709
"CGGA_825",-1485.89361284269,-114.31966027171,-1600.2132731144,0.932293184779056
"CGGA_831",-535.126951520705,-163.935022410365,-699.06197393107,0.876442408936053
"CGGA_846",-936.477361610253,396.196820980886,-540.280540629366,0.864982773383551
"CGGA_852",-874.326066792846,184.723078120368,-689.602988672477,0.875773007048797
"CGGA_861",-611.497057914224,222.755590071235,-388.741467842989,0.853607541312887
"CGGA_862",-1445.70830915362,-837.193042112534,-2282.90135126616,0.963801893359871
"CGGA_863",-1472.19491101495,-293.46824607065,-1765.6631570856,0.940801769979143
"CGGA_867",-762.907125255367,459.734371736683,-303.172753518684,0.846997408190871
"CGGA_869",97.896013991407,1514.74097246538,1612.63698645679,0.666193280266245
"CGGA_881",-1000.75569955404,-136.214354488149,-1136.97005404219,0.905562204947102
"CGGA_882",-1437.00776794589,-1090.06440100405,-2527.07216894994,0.97273688406485
"CGGA_883",-1654.20523781097,-694.396715781436,-2348.60195359241,0.966328333620549
"CGGA_887",-1062.22873478865,-673.170638389897,-1735.39937317854,0.939286717320949
"CGGA_888",-1520.99991848993,-1015.11899369683,-2536.11891218676,0.973043994800324
"CGGA_889",-1747.38467430772,-1618.13913528447,-3365.52380959218,0.993849439252216
"CGGA_890",-1693.68726825362,-916.007596166333,-2609.69486441996,0.975477911516138
"CGGA_901",-1465.98631827342,-198.734643097306,-1664.72096137073,0.935676301742835
"CGGA_903",-1202.73524206846,-4.97837774595113,-1207.71361981441,0.909918475847655
"CGGA_D19",-1885.18888763748,-1186.25630899581,-3071.44519663329,0.9881447497045
"CGGA_D28",-2019.42454843438,-956.409175141619,-2975.833723576,0.985892832124623
"CGGA_D49",-1239.77258774985,-615.726820239789,-1855.49940798964,0.945189643549328
"CGGA_D50",-1265.91219127051,-719.851703028765,-1985.76389429927,0.951260003893842
"CGGA_D53",-1980.74214765461,-1137.27620338969,-3118.0183510443,0.989171209232414
"CGGA_J50",-1674.87297538477,-316.57424482043,-1991.4472202052,0.951516946080228
"CGGA_J73",-1983.48781718533,-1421.89740501936,-3405.38522220469,0.994480382304749
"CGGA_P100",-1224.55722564759,-406.647805747047,-1631.20503139464,0.933929004590976
"CGGA_P102",-1738.58111101777,715.498797453884,-1023.08231356388,0.898344252412553
"CGGA_P103",-1814.12398953351,-1470.78829951766,-3284.91228905117,0.992469527918797
"CGGA_P104",-1051.78247072595,268.518341433196,-783.264129292756,0.882326686989333
"CGGA_P106",-1454.02473440371,-256.989918081988,-1711.0146524857,0.938052493522776
"CGGA_P107",-1220.33181190704,-460.97694837715,-1681.30876028419,0.936532703670697
"CGGA_P108",-1313.52839213247,-530.925374667269,-1844.45376679974,0.94465898797026
"CGGA_P109",-1233.25614801607,100.763624004217,-1132.49252401186,0.905283195279033
"CGGA_P11",-1632.54424750477,-264.466261028905,-1897.01050853368,0.947161695821325
