,Dataset,Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
76,tidied_integrated_df_10,Ensemble,0.8068341899866743,0.04201342732324571,0.4872638326585695,0.09434205283942533,0.5116959064327485,0.08391354389741716,0.48917182662538694,0.06390264813068425,0.7475468901010697,0.04010029571093763,0.46289831986411867,0.050196901738070426
77,tidied_integrated_df_11,Deep,0.8499143346659052,0.01313250920401653,0.7021245421245422,0.10906218026836266,0.3052631578947368,0.08501886243455554,0.4156067588325653,0.07788307711173462,0.6978375677756483,0.04109774134172846,0.43975419977926367,0.03469217198828853
78,tidied_integrated_df_11,SVM,0.7680373120121835,0.034352219634468745,0.40284545603138283,0.06450719780787317,0.5432748538011696,0.04451364265259666,0.4587156498930405,0.03923283720160637,0.7622323783314495,0.017628622127681466,0.4582010506200579,0.043730583990827715
79,tidied_integrated_df_11,RandomForest,0.8283266704740149,0.03251782952336776,0.5405718954248366,0.11875427150338225,0.4461988304093567,0.0900774643921955,0.4823967288064651,0.08415420103860392,0.789797410192147,0.04877274849282154,0.46143467219413214,0.06395835604231191
80,tidied_integrated_df_11,XGBoost,0.8205596801827527,0.038351989165086434,0.5104374057315233,0.10143941957202811,0.4251461988304094,0.09918445873775145,0.45936874005185196,0.09393385830633488,0.7818127016888627,0.03553506243398608,0.46283262000470715,0.0456026047044828
81,tidied_integrated_df_11,LogisticRegression,0.7464686845612031,0.051637299203865276,0.37238561664707676,0.06556616170420242,0.5666666666666667,0.12176387939012917,0.44468421052631585,0.0799096057479773,0.7151217095025143,0.048542988432772737,0.42714483506299483,0.06958874695749301
82,tidied_integrated_df_11,NaiveBayes,0.6625166571482962,0.12139979986303102,0.31489878608522676,0.08861163223541615,0.5976608187134502,0.04429028357605024,0.4049993398655031,0.08302169229213566,0.6717264157124838,0.06944116393343985,0.3777582538745616,0.06028167400760875
83,tidied_integrated_df_11,Ensemble,0.8205596801827527,0.0330732022831991,0.5240440615605509,0.10208003309740989,0.47894736842105257,0.09393931872259664,0.4875488299878544,0.06682819671258497,0.7636952675807164,0.03594114595914998,0.48655346186018855,0.046203996910118166
84,tidied_integrated_df_12,Deep,0.8420902341519131,0.0075645598653361805,0.7833333333333333,0.17756063127218763,0.21754385964912276,0.0989082360786364,0.31548412601044173,0.11869574415708706,0.7018251511130769,0.04845517756777547,0.39570131475373643,0.07140030172854953
85,tidied_integrated_df_12,SVM,0.7582905006662859,0.016585098861777305,0.3886217730295692,0.02001525181554739,0.6099415204678362,0.10016231141991414,0.4723520117762921,0.040612492125511296,0.7463267236719249,0.06454481169756755,0.4374924200697118,0.12318750420263457
86,tidied_integrated_df_12,RandomForest,0.8127926898914906,0.025499385798292484,0.4991596638655462,0.12236453500851287,0.34912280701754383,0.062318441191846645,0.4000399600399601,0.05022202523351199,0.7768344472291842,0.04380594702019162,0.45576661034270644,0.0952643703854619
87,tidied_integrated_df_12,XGBoost,0.8186940795735769,0.02819555339369942,0.5012055780476834,0.08344686049227928,0.40409356725146195,0.09584936256630587,0.4413310516562496,0.0809840748692464,0.7726663062885973,0.0492153891225739,0.4524772885269469,0.0665605935623069
88,tidied_integrated_df_12,LogisticRegression,0.742585189415572,0.049158217439055095,0.3754668324035896,0.060903824220446545,0.62046783625731,0.09198962387010846,0.46559457933370985,0.06932034479308656,0.7292633544645929,0.05239764320932247,0.4117354763273452,0.06451202297481759
89,tidied_integrated_df_12,NaiveBayes,0.5169046259280411,0.11381875556427534,0.23692998688141,0.0402187531697832,0.7187134502923976,0.056164712063358935,0.3545445531125918,0.04957312790024902,0.6769263026848165,0.07411941609616322,0.34517151021132453,0.07837399324801028
90,tidied_integrated_df_12,Ensemble,0.810812868836855,0.030596111519502804,0.4794663669663669,0.06930508880244372,0.5666666666666667,0.1054643950365725,0.5156709956709957,0.07925289723399868,0.7448010549248939,0.06211456347578019,0.43917157885149233,0.08224055207895496
91,tidied_integrated_df_13,Deep,0.8459737292975442,0.019110688282937816,0.7164102564102565,0.17142018075329915,0.3169590643274854,0.13963756356011647,0.40245952292670867,0.16028176973127695,0.7219728242174063,0.07085010645211563,0.40951288106573536,0.07048008949715438
92,tidied_integrated_df_13,SVM,0.7679040548258138,0.03596874189386931,0.41294582655196466,0.049303094978172264,0.6771929824561403,0.1418246212044362,0.5082185788068141,0.06797756399773874,0.7937881058856291,0.05454970409540472,0.47076028075249193,0.0723802412300451
